0,1,2,3,4,5,6
4,6,9,14,26,34,43
5,9,24,35,36,38,40
6,16,26,33,40,46,50
9,14,20,28,34,37,47
7,22,26,35,46,47,49
1,11,18,25,31,39,48
1,13,15,21,23,24,38
2,3,9,14,26,33,46
4,7,20,29,31,36,44
5,11,15,18,20,24,46
3,7,11,13,33,41,43
5,9,34,38,39,42,47
3,9,21,35,44,47,48
17,18,27,38,39,40,47
9,20,21,22,25,26,37
3,4,21,33,38,44,45
11,12,22,33,37,48,49
8,14,31,36,39,46,47
2,3,6,13,37,42,46
3,12,17,22,29,31,48
1,3,22,30,31,37,40
1,16,24,28,30,31,47
4,16,19,32,35,36,38
1,8,15,16,32,39,40
8,14,16,17,29,41,42
5,12,15,23,26,38,41
5,27,34,37,39,41,47
9,11,14,21,22,24,41
22,23,24,25,37,40,49
7,30,32,40,47,48,50
11,19,22,26,33,46,48
3,4,10,11,26,28,40
25,28,32,41,42,44,45
3,12,25,36,37,42,49
3,6,9,37,40,41,48
3,18,19,22,23,39,47
5,13,24,28,44,47,50
9,18,23,36,39,43,48
4,9,10,15,32,37,44
12,16,26,35,36,40,47
8,9,19,26,27,31,46
9,10,13,21,40,41,43
2,15,21,29,40,47,50
3,6,9,22,29,38,39
1,4,12,15,22,24,43
1,5,13,18,31,33,37
1,9,15,16,18,21,24
2,3,17,26,28,32,47
2,4,6,12,24,28,41
2,6,10,33,34,46,49
2,7,8,18,25,42,50
2,7,11,24,25,30,32
2,15,17,18,26,31,50
2,17,21,23,24,26,28
2,19,23,32,35,40,49
2,20,27,30,31,33,48
2,23,26,37,39,49,50
2,30,32,35,43,44,48
3,4,5,15,30,31,37
4,6,29,30,33,47,48
4,7,13,15,18,48,49
4,22,24,25,29,33,48
5,9,22,23,24,29,36
6,9,11,19,26,33,39
6,9,18,25,34,41,49
7,9,10,23,34,40,50
7,14,15,22,28,33,34
7,21,23,29,40,47,49
8,10,16,17,21,33,46
8,12,15,19,22,43,47
8,16,20,26,29,30,32
9,19,21,22,27,39,50
11,12,13,15,24,35,46
11,21,27,38,41,42,45
17,21,22,27,29,34,38
3,9,10,14,15,19,20
1,2,5,21,34,45,50
1,2,17,18,20,21,24
1,7,11,20,22,24,25
1,9,10,21,34,37,40
1,29,30,31,42,44,46
2,5,10,15,32,37,45
2,5,26,29,37,42,43
2,14,17,22,25,35,40
2,17,21,30,36,40,47
2,25,34,36,39,42,43
4,6,10,23,32,33,48
5,6,20,36,37,39,41
5,7,8,19,28,39,49
6,10,28,36,40,42,46
